,crimerate,X,Murder,Assault,UrbanPop,Rape
1,1,Alabama,13.2,236,58,21.2
2,1,Alaska,10,263,48,44.5
3,1,Georgia,17.4,211,60,25.8
4,1,Louisiana,15.4,249,66,22.2
5,1,Mississippi,16.1,259,44,17.1
6,1,North Carolina,13,337,45,16.1
7,1,South Carolina,14.4,279,48,22.5
8,1,Tennessee,13.2,188,59,26.9
,,1,14.0875,252.75,53.5,24.5375
,,,,,,
9,2,Arizona,8.1,294,80,31
10,2,California,9,276,91,40.6
11,2,Colorado,7.9,204,78,38.7
12,2,Florida,15.4,335,80,31.9
13,2,Illinois,10.4,249,83,24
14,2,Maryland,11.3,300,67,27.8
15,2,Michigan,12.1,255,74,35.1
16,2,Nevada,12.2,252,81,46
17,2,New Mexico,11.4,285,70,32.1
18,2,New York,11.1,254,86,26.1
19,2,Texas,12.7,201,80,25.5
,,2,11.05454545,264.0909091,79.09090909,32.61818182
,,,,,,
20,3,Arkansas,8.8,190,50,19.5
21,3,Connecticut,3.3,110,77,11.1
22,3,Delaware,5.9,238,72,15.8
23,3,Hawaii,5.3,46,83,20.2
24,3,Indiana,7.2,113,65,21
25,3,Kansas,6,115,66,18
26,3,Kentucky,9.7,109,52,16.3
27,3,Massachusetts,4.4,149,85,16.3
28,3,Minnesota,2.7,72,66,14.9
29,3,Missouri,9,178,70,28.2
30,3,New Jersey,7.4,159,89,18.8
31,3,Ohio,7.3,120,75,21.4
32,3,Oklahoma,6.6,151,68,20
33,3,Oregon,4.9,159,67,29.3
34,3,Pennsylvania,6.3,106,72,14.9
35,3,Rhode Island,3.4,174,87,8.3
36,3,Utah,3.2,120,80,22.9
37,3,Virginia,8.5,156,63,20.7
38,3,Washington,4,145,73,26.2
39,3,Wisconsin,2.6,53,66,10.8
40,3,Wyoming,6.8,161,60,15.6
,,3,5.871428571,134.4761905,70.76190476,18.58095238
,,,,,,
41,4,Idaho,2.6,120,54,14.2
42,4,Iowa,2.2,56,57,11.3
43,4,Maine,2.1,83,51,7.8
44,4,Montana,6,109,53,16.4
45,4,Nebraska,4.3,102,62,16.5
46,4,New Hampshire,2.1,57,56,9.5
47,4,North Dakota,0.8,45,44,7.3
48,4,South Dakota,3.8,86,45,12.8
49,4,Vermont,2.2,48,32,11.2
50,4,West Virginia,5.7,81,39,9.3
,,4,3.18,78.7,49.3,11.63
